#date+time,033-pwl,033-surge,033-atp,033-wtp,033-wsd,033-bpr
"04-25-2013",1.076,-0.122,16.6,18.3,3.900,1019.6
"04-26-2013",1.223,0.003,17.4,18.6,4.500,1021.5
"04-27-2013",1.280,0.029,21.3,20.7,5.200,1018.0
"04-28-2013",1.303,0.020,22.3,22.6,7.400,1013.8
"04-29-2013",1.377,0.069,22.4,22.4,6.100,1011.4
"04-30-2013",1.376,0.055,22.4,23.9,6.200,1009.9
"05-01-2013",1.443,0.124,23.7,24.7,7.900,1006.8
"05-02-2013",1.374,0.071,23.6,26.4,5.300,1009.3
"05-03-2013",0.882,-0.395,16.5,23.2,11.300,1020.1
"05-04-2013",0.597,-0.652,19.1,19.8,6.500,1018.3
"05-05-2013",1.088,-0.137,20.8,21.5,6.700,1012.4
"05-06-2013",0.852,-0.357,22.9,22.7,4.000,1015.5
"05-07-2013",0.977,-0.226,22.4,24.2,5.600,1015.0
"05-08-2013",1.007,-0.200,23.1,25.4,6.100,1014.8
"05-09-2013",1.121,-0.096,23.2,25.2,8.700,1013.8
"05-10-2013",1.210,-0.022,24.4,25.0,8.100,1010.1
"05-11-2013",1.231,-0.016,23.7,25.6,6.400,1010.6
"05-12-2013",1.256,-0.007,27.1,27.0,6.000,1015.1
"05-13-2013",1.169,-0.108,25.5,25.4,5.300,1018.6
"05-14-2013",1.261,-0.026,23.0,26.3,6.300,1021.6
"05-15-2013",1.311,0.018,24.0,25.1,8.400,1018.3
"05-16-2013",1.360,0.069,23.9,25.0,9.800,1012.7
"05-17-2013",1.326,0.046,25.0,25.9,8.900,1008.1
"05-18-2013",1.235,-0.023,25.1,27.3,9.100,1010.3
"05-19-2013",1.242,0.012,26.2,28.0,7.800,1011.4
"05-20-2013",1.308,0.106,26.1,29.1,9.400,1008.3
"05-21-2013",1.284,0.105,26.1,28.4,9.500,1006.9
"05-22-2013",1.231,0.062,27.0,28.3,7.000,1005.9
"05-23-2013",1.207,0.033,27.4,29.3,5.700,1009.5
"05-24-2013",1.263,0.068,26.6,28.8,9.000,1012.1
"05-25-2013",1.262,0.036,26.7,28.4,7.700,1017.0
"05-26-2013",1.350,0.090,26.4,27.2,8.200,1017.2
"05-27-2013",1.371,0.084,26.9,28.0,7.400,1015.3
"05-28-2013",1.446,0.148,26.9,28.6,9.300,1012.1
"05-29-2013",1.562,0.272,26.6,27.6,10.300,1009.6
"05-30-2013",1.627,0.362,26.8,26.9,11.000,1007.6
"05-31-2013",1.509,0.279,27.1,27.8,7.900,1008.4
"06-01-2013",1.439,0.248,27.8,29.4,8.600,1009.2
"06-02-2013",1.442,0.283,27.7,30.2,8.700,1010.1
"06-03-2013",1.141,0.001,29.8,29.1,3.000,1011.3
"06-04-2013",1.228,0.093,27.3,30.3,8.100,1009.7
"06-05-2013",1.186,0.045,27.2,30.2,7.700,1009.7
"06-06-2013",1.233,0.080,28.1,31.5,7.200,1008.4
"06-07-2013",1.263,0.095,30.0,31.5,5.900,1006.8
